Month,Year,Median
1,1978,
2,1978,0.9
3,1978,
4,1978,
5,1978,4.7
6,1978,
7,1978,
8,1978,4.8
9,1978,
10,1978,
11,1978,2.8
12,1978,
1,1979,
2,1979,4.8
3,1979,
4,1979,
5,1979,5
6,1979,
7,1979,
8,1979,5.1
9,1979,
10,1979,
11,1979,4.8
12,1979,
1,1980,
2,1980,5.4
3,1980,
4,1980,5.6
5,1980,5.2
6,1980,6.5
7,1980,5
8,1980,5.4
9,1980,5.4
10,1980,5.6
11,1980,5.6
12,1980,5.2
1,1981,4.9
2,1981,5
3,1981,5.1
4,1981,5.2
5,1981,6.4
6,1981,5.3
7,1981,4.8
8,1981,5.4
9,1981,4.7
10,1981,5.1
11,1981,4.9
12,1981,5.3
1,1982,5
2,1982,5
3,1982,3.3
4,1982,4.3
5,1982,4.8
6,1982,4.9
7,1982,2.9
8,1982,4.5
9,1982,4.1
10,1982,4.8
11,1982,4.5
12,1982,4.7
1,1983,2.4
2,1983,2.1
3,1983,3.2
4,1983,4.8
5,1983,4.5
6,1983,4.3
7,1983,3.4
8,1983,3.5
9,1983,2.7
10,1983,3.4
11,1983,4.5
12,1983,3.8
1,1984,3.3
2,1984,4.7
3,1984,4.4
4,1984,4.5
5,1984,4.1
6,1984,4.6
7,1984,3.4
8,1984,4.7
9,1984,4.3
10,1984,4.5
11,1984,3.8
12,1984,3.5
1,1985,2.7
2,1985,2.8
3,1985,2.5
4,1985,2.6
5,1985,2.6
6,1985,3.5
7,1985,2.5
8,1985,3.1
9,1985,2.9
10,1985,2.5
11,1985,2.9
12,1985,3.4
1,1986,3
2,1986,3.1
3,1986,2.8
4,1986,3.4
5,1986,3.1
6,1986,3
7,1986,3.5
8,1986,3.3
9,1986,2.9
10,1986,3.5
11,1986,3.3
12,1986,2.9
1,1987,3.2
2,1987,2.7
3,1987,1.8
4,1987,3
5,1987,2.6
6,1987,2.7
7,1987,2.7
8,1987,3.4
9,1987,2.2
10,1987,3.2
11,1987,3.9
12,1987,2.7
1,1988,2.9
2,1988,3.9
3,1988,3.3
4,1988,2.2
5,1988,2.7
6,1988,2.7
7,1988,3.3
8,1988,4.2
9,1988,3.5
10,1988,2.9
11,1988,4.1
12,1988,3.2
1,1989,3.1
2,1989,3.7
3,1989,2.7
4,1989,3.4
5,1989,3.2
6,1989,2.6
7,1989,2.5
8,1989,3.5
9,1989,2.8
10,1989,3.6
11,1989,4.1
12,1989,3.4
1,1990,3.3
2,1990,2.9
3,1990,3.1
4,1990,4.1
5,1990,3.3
6,1990,3
7,1990,3.9
8,1990,3
9,1990,2.6
10,1990,2.5
11,1990,2.7
12,1990,2.5
1,1991,2.8
2,1991,2.5
3,1991,2.9
4,1991,2.7
5,1991,1.4
6,1991,2.9
7,1991,2.6
8,1991,1.7
9,1991,2.6
10,1991,2.9
11,1991,2.9
12,1991,2.4
1,1992,1.7
2,1992,1.9
3,1992,1.8
4,1992,2.9
5,1992,2.4
6,1992,2.7
7,1992,1.5
8,1992,2
9,1992,2.8
10,1992,2.6
11,1992,3
12,1992,3.2
1,1993,2.9
2,1993,2.7
3,1993,1.6
4,1993,2
5,1993,2.5
6,1993,2.4
7,1993,2.1
8,1993,1.8
9,1993,2.9
10,1993,2.6
11,1993,3
12,1993,2.3
1,1994,1.8
2,1994,2.6
3,1994,2
4,1994,2.8
5,1994,2.5
6,1994,2.2
7,1994,1.8
8,1994,2.1
9,1994,2.6
10,1994,2.6
11,1994,2.6
12,1994,2.7
1,1995,2.8
2,1995,2.5
3,1995,2.3
4,1995,2.2
5,1995,2.6
6,1995,2.6
7,1995,2.6
8,1995,2.7
9,1995,2
10,1995,2.6
11,1995,2.5
12,1995,2.1
1,1996,2.7
2,1996,2.3
3,1996,2.9
4,1996,2.4
5,1996,2.2
6,1996,2.1
7,1996,2.6
8,1996,2.7
9,1996,2.9
10,1996,2.8
11,1996,2.6
12,1996,2.5
1,1997,2.8
2,1997,3
3,1997,2.5
4,1997,2.7
5,1997,2.8
6,1997,2.6
7,1997,2.7
8,1997,2.5
9,1997,2.1
10,1997,2.8
11,1997,2.8
12,1997,2.6
1,1998,2.7
2,1998,3.2
3,1998,2.2
4,1998,2.7
5,1998,2.5
6,1998,2.5
7,1998,2.8
8,1998,2.9
9,1998,2.9
10,1998,2.5
11,1998,2.7
12,1998,2.8
1,1999,2.7
2,1999,2.8
3,1999,2.8
4,1999,2.6
5,1999,2.9
6,1999,3.2
7,1999,3
8,1999,3.3
9,1999,3.1
10,1999,3
11,1999,3
12,1999,2.7
1,2000,3.2
2,2000,3.1
3,2000,3.2
4,2000,3
5,2000,3
6,2000,3
7,2000,3
8,2000,3
9,2000,3.3
10,2000,2.9
11,2000,3.2
12,2000,2.9
1,2001,2.8
2,2001,3.1
3,2001,3.1
4,2001,2.5
5,2001,3
6,2001,2.4
7,2001,2.2
8,2001,2.8
9,2001,1.8
10,2001,1.7
11,2001,2.2
12,2001,2.9
1,2002,2.6
2,2002,3.1
3,2002,2.3
4,2002,2.7
5,2002,2.7
6,2002,2.8
7,2002,3.1
8,2002,2.6
9,2002,2.7
10,2002,2.5
11,2002,2.5
12,2002,2.8
1,2003,2.3
2,2003,2.1
3,2003,2.6
4,2003,2.4
5,2003,2.6
6,2003,2.6
7,2003,3.2
8,2003,2.4
9,2003,2.4
10,2003,2
11,2003,2.6
12,2003,2.7
1,2004,2.7
2,2004,2.6
3,2004,2.7
4,2004,2.1
5,2004,2.5
6,2004,2.7
7,2004,2.5
8,2004,2.7
9,2004,2.4
10,2004,2.2
11,2004,2.7
12,2004,2.8
1,2005,2.9
2,2005,2.6
3,2005,2.4
4,2005,2
5,2005,2.3
6,2005,1.8
7,2005,2.7
8,2005,2.1
9,2005,2.2
10,2005,2.5
11,2005,2.3
12,2005,2.9
1,2006,2.3
2,2006,2.2
3,2006,2
4,2006,2.5
5,2006,1.9
6,2006,2.3
7,2006,2.2
8,2006,2.3
9,2006,1.9
10,2006,2.9
11,2006,2.7
12,2006,2.7
1,2007,2.7
2,2007,2.6
3,2007,2.7
4,2007,2.6
5,2007,2.2
6,2007,2.3
7,2007,2.6
8,2007,2.5
9,2007,2.1
10,2007,2.3
11,2007,2.6
12,2007,2.3
1,2008,2.3
2,2008,1.9
3,2008,2.5
4,2008,1
5,2008,2
6,2008,1.8
7,2008,2
8,2008,2.2
9,2008,2.4
10,2008,1.2
11,2008,1.4
12,2008,0.6
1,2009,0.5
2,2009,0.4
3,2009,0.2
4,2009,0.3
5,2009,0.2
6,2009,0.4
7,2009,0.2
8,2009,0.4
9,2009,0.2
10,2009,0.3
11,2009,0.3
12,2009,0.5
1,2010,0.3
2,2010,0.2
3,2010,0.3
4,2010,0.3
5,2010,0.3
6,2010,0.3
7,2010,0.2
8,2010,0.3
9,2010,0.4
10,2010,0.3
11,2010,0.4
12,2010,0.4
1,2011,0.2
2,2011,0.2
3,2011,0.2
4,2011,0.3
5,2011,0.3
6,2011,0.2
7,2011,0.2
8,2011,0.2
9,2011,0.2
10,2011,0.2
11,2011,0.4
12,2011,0.3
1,2012,0.4
2,2012,0.3
3,2012,0.5
4,2012,0.3
5,2012,0.4
6,2012,0.3
7,2012,0.3
8,2012,0.4
9,2012,0.4
10,2012,0.8
11,2012,0.6
12,2012,0.4
1,2013,0.4
2,2013,0.5
3,2013,0.4
4,2013,0.4
5,2013,0.4
6,2013,0.4
7,2013,0.6
8,2013,0.9
9,2013,0.5
10,2013,0.5
11,2013,0.5
12,2013,0.7
1,2014,0.5
2,2014,0.9
3,2014,0.9
4,2014,0.6
5,2014,0.6
6,2014,0.8
7,2014,0.6
8,2014,0.5
9,2014,1.1
10,2014,1.1
11,2014,1.1
12,2014,1.7
1,2015,1.9
2,2015,1
3,2015,1.4
4,2015,1.5
5,2015,1.3
6,2015,1.7
7,2015,1.8
8,2015,1.4
9,2015,1
10,2015,1.5
11,2015,1.8
12,2015,1.6
1,2016,0.8
2,2016,1.9
3,2016,1.4
4,2016,1.2
5,2016,1.6
6,2016,1.6
7,2016,1.4
8,2016,1.2
9,2016,1.7
10,2016,1.5
11,2016,1.8
12,2016,1.5
1,2017,1.9
2,2017,1.6
3,2017,2.3
4,2017,1.6
5,2017,2
6,2017,1.9
7,2017,1.8
8,2017,1.9
9,2017,1.7
10,2017,2.1
11,2017,2.1
12,2017,1.9
1,2018,2.1
2,2018,2.2
3,2018,1.7
4,2018,2.2
5,2018,1.6
6,2018,2.5
7,2018,2.2
8,2018,2.4
9,2018,2.1
10,2018,1.8
11,2018,2.5
12,2018,2.4
1,2019,2.2
2,2019,1.7
3,2019,2.6
4,2019,2.1
5,2019,2.1
6,2019,2
7,2019,2.3
8,2019,1.8
9,2019,2
10,2019,2.5
11,2019,2.3
12,2019,2.2
1,2020,2.3
2,2020,2.2
3,2020,1.9
4,2020,0.4
5,2020,0.5
6,2020,0.7
7,2020,1
8,2020,1.6
9,2020,1.5
10,2020,2
11,2020,1.6
12,2020,1.5
1,2021,1.7
2,2021,1.5
3,2021,1.1
4,2021,1.8
5,2021,1.6
6,2021,1.7
7,2021,1.9
8,2021,1.6
9,2021,1.5
10,2021,2.6
11,2021,2.1
12,2021,2.2
1,2022,2.3
2,2022,1.9
3,2022,1.5
4,2022,2.6
5,2022,1.8
6,2022,1.1
7,2022,1.1
8,2022,2.3
9,2022,1.7
10,2022,1.9
11,2022,2.5
12,2022,2.5
1,2023,2.5
2,2023,2.4
3,2023,1.5
4,2023,1.7
5,2023,2.3
6,2023,1.9
7,2023,1.9
8,2023,2.4
